part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
COP-B-00001,p6-4x1,Indigo purple,#482960,0,1,-39.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00002,p6-4x2,Indigo purple,#482960,0,2,-39.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00003,p6-4x2,Indigo purple,#482960,0,3,-39.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00004,p6-4x2,Indigo purple,#482960,0,4,-39.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00005,p6-3x1,Indigo purple,#482960,0,5,-36.0,-42.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00006,p6-3x1,Indigo purple,#482960,0,6,-36.0,-36.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00007,p6-3x2,Indigo purple,#482960,0,7,-36.0,15.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00008,p6-2x1,Indigo purple,#482960,0,8,-33.0,-48.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00009,p6-1x1,Indigo purple,#482960,0,9,-30.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00010,p6-4x1,Indigo purple,#482960,0,10,-15.0,-54.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00011,p6-4x2,Indigo purple,#482960,0,11,-15.0,-45.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00012,p6-4x2,Indigo purple,#482960,0,12,-15.0,-33.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00013,p6-4x2,Indigo purple,#482960,0,13,-15.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00014,p6-4x2,Indigo purple,#482960,0,14,-15.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00015,p6-4x2,Indigo purple,#482960,0,15,-15.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00016,p6-4x2,Indigo purple,#482960,0,16,-15.0,15.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00017,p6-4x1,Indigo purple,#482960,0,17,-15.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00018,p6-3x1,Indigo purple,#482960,0,18,-12.0,-66.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00019,p6-3x1,Indigo purple,#482960,0,19,-12.0,-60.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00020,p6-2x1,Indigo purple,#482960,0,20,-9.0,-72.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00021,p6-3x2,Indigo purple,#482960,0,21,6.0,-69.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00022,p6-4x2,Indigo purple,#482960,0,22,9.0,-57.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00023,p6-4x2,Indigo purple,#482960,0,23,9.0,-45.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00024,p6-4x2,Indigo purple,#482960,0,24,9.0,-33.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00025,p6-4x2,Indigo purple,#482960,0,25,9.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00026,p6-4x2,Indigo purple,#482960,0,26,9.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00027,p6-4x2,Indigo purple,#482960,0,27,9.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00028,p6-4x2,Indigo purple,#482960,0,28,9.0,15.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00029,p6-4x1,Indigo purple,#482960,0,29,9.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00030,p6-1x1,Indigo purple,#482960,0,30,18.0,-66.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00031,p6-1x1,Indigo purple,#482960,0,31,24.0,-54.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00032,p6-3x2,Indigo purple,#482960,0,32,30.0,-45.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00033,p6-4x2,Indigo purple,#482960,0,33,33.0,-33.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00034,p6-4x2,Indigo purple,#482960,0,34,33.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00035,p6-4x2,Indigo purple,#482960,0,35,33.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00036,p6-4x2,Indigo purple,#482960,0,36,33.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00037,p6-4x2,Indigo purple,#482960,0,37,33.0,15.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00038,p6-2x1,Indigo purple,#482960,0,38,27.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00039,p6-1x1,Indigo purple,#482960,0,39,42.0,-42.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00040,p6-1x1,Indigo purple,#482960,0,40,48.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-B-00041,p6-2x1,Indigo purple,#482960,0,41,48.0,-21.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00042,p6-2x1,Indigo purple,#482960,0,42,48.0,-9.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00043,p6-2x1,Indigo purple,#482960,0,43,48.0,3.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00053,p6-4x2,Indigo purple,#482960,1,44,-21.0,-63.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00054,p6-4x2,Indigo purple,#482960,1,45,-9.0,-63.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00055,p6-4x2,Indigo purple,#482960,1,46,3.0,-63.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00056,p6-4x2,Indigo purple,#482960,1,47,15.0,-63.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00057,p6-4x2,Indigo purple,#482960,1,48,27.0,-63.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00063,p6-4x2,Indigo purple,#482960,1,49,-45.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00064,p6-4x2,Indigo purple,#482960,1,50,-33.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00065,p6-4x2,Indigo purple,#482960,1,51,-21.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00066,p6-4x2,Indigo purple,#482960,1,52,-9.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00067,p6-4x2,Indigo purple,#482960,1,53,3.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00068,p6-4x2,Indigo purple,#482960,1,54,15.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00069,p6-4x2,Indigo purple,#482960,1,55,27.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00070,p6-4x2,Indigo purple,#482960,1,56,39.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00071,p6-4x1,Indigo purple,#482960,1,57,48.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00075,p6-4x2,Indigo purple,#482960,1,58,-45.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00076,p6-4x2,Indigo purple,#482960,1,59,-33.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00077,p6-4x2,Indigo purple,#482960,1,60,-21.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00078,p6-4x2,Indigo purple,#482960,1,61,-9.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00079,p6-4x2,Indigo purple,#482960,1,62,3.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00080,p6-4x2,Indigo purple,#482960,1,63,15.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00081,p6-4x2,Indigo purple,#482960,1,64,27.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00082,p6-4x2,Indigo purple,#482960,1,65,39.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00083,p6-4x2,Indigo purple,#482960,1,66,51.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00086,p6-4x2,Indigo purple,#482960,1,67,-45.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00087,p6-4x2,Indigo purple,#482960,1,68,-33.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00088,p6-4x2,Indigo purple,#482960,1,69,-21.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00089,p6-4x2,Indigo purple,#482960,1,70,-9.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00090,p6-4x2,Indigo purple,#482960,1,71,3.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00091,p6-4x2,Indigo purple,#482960,1,72,15.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00092,p6-4x2,Indigo purple,#482960,1,73,27.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00093,p6-4x2,Indigo purple,#482960,1,74,39.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00094,p6-4x2,Indigo purple,#482960,1,75,51.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00098,p6-4x2,Indigo purple,#482960,1,76,-33.0,33.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00099,p6-4x2,Indigo purple,#482960,1,77,-21.0,33.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
COP-B-00100,p6-4x2,Indigo purple,#482960,1,78,-9.0,33.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
