part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
COP-C-00001,p8-3x2,Indigo purple,#482960,0,1,-48.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00002,p8-3x1,Indigo purple,#482960,0,2,-48.0,0.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00003,p8-2x1,Indigo purple,#482960,0,3,-44.0,-40.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00004,p8-2x2,Indigo purple,#482960,0,4,-44.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00005,p8-2x1,Indigo purple,#482960,0,5,-44.0,8.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00006,p8-2x1,Indigo purple,#482960,0,6,-44.0,16.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00007,p8-1x1,Indigo purple,#482960,0,7,-40.0,-56.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00008,p8-1x1,Indigo purple,#482960,0,8,-40.0,-48.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00009,p8-1x1,Indigo purple,#482960,0,9,-40.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00010,p8-4x2,Indigo purple,#482960,0,10,-20.0,-60.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00011,p8-4x2,Indigo purple,#482960,0,11,-20.0,-44.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00012,p8-4x2,Indigo purple,#482960,0,12,-20.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00013,p8-4x2,Indigo purple,#482960,0,13,-20.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00014,p8-4x2,Indigo purple,#482960,0,14,-20.0,4.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00015,p8-4x2,Indigo purple,#482960,0,15,-20.0,20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00016,p8-4x1,Indigo purple,#482960,0,16,-20.0,32.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00017,p8-3x1,Indigo purple,#482960,0,17,-16.0,-72.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00018,p8-1x1,Indigo purple,#482960,0,18,-8.0,-80.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00019,p8-2x2,Indigo purple,#482960,0,19,4.0,-76.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00020,p8-4x2,Indigo purple,#482960,0,20,12.0,-60.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00021,p8-4x2,Indigo purple,#482960,0,21,12.0,-44.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00022,p8-4x2,Indigo purple,#482960,0,22,12.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00023,p8-4x2,Indigo purple,#482960,0,23,12.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00024,p8-4x2,Indigo purple,#482960,0,24,12.0,4.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00025,p8-4x2,Indigo purple,#482960,0,25,12.0,20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00026,p8-4x1,Indigo purple,#482960,0,26,12.0,32.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00027,p8-2x1,Indigo purple,#482960,0,27,20.0,-72.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00028,p8-2x1,Indigo purple,#482960,0,28,32.0,-60.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00029,p8-2x2,Indigo purple,#482960,0,29,36.0,-44.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00030,p8-3x2,Indigo purple,#482960,0,30,40.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00031,p8-3x2,Indigo purple,#482960,0,31,40.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00032,p8-4x2,Indigo purple,#482960,0,32,44.0,4.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00033,p8-2x2,Indigo purple,#482960,0,33,36.0,20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00034,p8-1x1,Indigo purple,#482960,0,34,32.0,32.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00035,p8-1x1,Indigo purple,#482960,0,35,40.0,-56.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00036,p8-1x1,Indigo purple,#482960,0,36,48.0,-40.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00037,p8-1x1,Indigo purple,#482960,0,37,48.0,16.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00038,p8-1x1,Indigo purple,#482960,0,38,56.0,-8.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-C-00039,p8-4x1,Indigo purple,#482960,1,39,-24.0,-84.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00040,p8-4x2,Indigo purple,#482960,1,40,-12.0,-84.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00041,p8-4x2,Indigo purple,#482960,1,41,4.0,-84.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00042,p8-4x2,Indigo purple,#482960,1,42,20.0,-84.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00048,p8-4x2,Indigo purple,#482960,1,43,-44.0,-52.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00049,p8-4x2,Indigo purple,#482960,1,44,-28.0,-52.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00050,p8-4x2,Indigo purple,#482960,1,45,-12.0,-52.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00051,p8-4x2,Indigo purple,#482960,1,46,4.0,-52.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00052,p8-4x2,Indigo purple,#482960,1,47,20.0,-52.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00053,p8-4x2,Indigo purple,#482960,1,48,36.0,-52.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00054,p8-4x1,Indigo purple,#482960,1,49,48.0,-52.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00058,p8-4x2,Indigo purple,#482960,1,50,-60.0,-20.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
COP-C-00059,p8-4x2,Indigo purple,#482960,1,51,-44.0,-20.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
