part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
COP-F-00001,p4-3x2,Indigo purple,#482960,0,1,-40.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00002,p4-3x2,Indigo purple,#482960,0,2,-40.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00003,p4-3x2,Indigo purple,#482960,0,3,-40.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00004,p4-3x2,Indigo purple,#482960,0,4,-40.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00005,p4-2x1,Indigo purple,#482960,0,5,-38.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00006,p4-2x1,Indigo purple,#482960,0,6,-38.0,8.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00007,p4-1x1,Indigo purple,#482960,0,7,-36.0,-32.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00008,p4-1x1,Indigo purple,#482960,0,8,-36.0,12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00009,p4-4x1,Indigo purple,#482960,0,9,-26.0,-44.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00010,p4-4x2,Indigo purple,#482960,0,10,-26.0,-38.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00011,p4-4x2,Indigo purple,#482960,0,11,-26.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00012,p4-4x2,Indigo purple,#482960,0,12,-26.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00013,p4-4x2,Indigo purple,#482960,0,13,-26.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00014,p4-4x2,Indigo purple,#482960,0,14,-26.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00015,p4-4x2,Indigo purple,#482960,0,15,-26.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00016,p4-4x2,Indigo purple,#482960,0,16,-26.0,10.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00017,p4-4x1,Indigo purple,#482960,0,17,-26.0,16.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00018,p4-3x1,Indigo purple,#482960,0,18,-24.0,-48.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00019,p4-2x1,Indigo purple,#482960,0,19,-22.0,-52.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00020,p4-1x1,Indigo purple,#482960,0,20,-20.0,-56.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00021,p4-4x2,Indigo purple,#482960,0,21,-10.0,-54.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00022,p4-4x2,Indigo purple,#482960,0,22,-10.0,-46.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00023,p4-4x2,Indigo purple,#482960,0,23,-10.0,-38.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00024,p4-4x2,Indigo purple,#482960,0,24,-10.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00025,p4-4x2,Indigo purple,#482960,0,25,-10.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00026,p4-4x2,Indigo purple,#482960,0,26,-10.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00027,p4-4x2,Indigo purple,#482960,0,27,-10.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00028,p4-4x2,Indigo purple,#482960,0,28,-10.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00029,p4-4x2,Indigo purple,#482960,0,29,-10.0,10.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00030,p4-4x2,Indigo purple,#482960,0,30,-10.0,18.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00031,p4-3x1,Indigo purple,#482960,0,31,-8.0,-60.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00032,p4-4x1,Indigo purple,#482960,0,32,6.0,-60.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00033,p4-4x2,Indigo purple,#482960,0,33,6.0,-54.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00034,p4-4x2,Indigo purple,#482960,0,34,6.0,-46.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00035,p4-4x2,Indigo purple,#482960,0,35,6.0,-38.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00036,p4-4x2,Indigo purple,#482960,0,36,6.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00037,p4-4x2,Indigo purple,#482960,0,37,6.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00038,p4-4x2,Indigo purple,#482960,0,38,6.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
COP-F-00039,p4-4x2,Indigo purple,#482960,0,39,6.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
