part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
DUC-B-00001,p6-2x1,Yellow,#F4EE2A,0,1,-33.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00002,p6-2x2,Yellow,#F4EE2A,0,2,-33.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00003,p6-2x2,Yellow,#F4EE2A,0,3,-33.0,15.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00004,p6-1x1,Yellow,#F4EE2A,0,4,-30.0,-18.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00005,p6-1x1,Yellow,#F4EE2A,0,5,-30.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00006,p6-2x1,Yellow,#F4EE2A,0,6,-30.0,27.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00007,p6-4x2,Yellow,#F4EE2A,0,7,-15.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00008,p6-4x2,Yellow,#F4EE2A,0,8,-15.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00009,p6-4x2,Yellow,#F4EE2A,0,9,-15.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00010,p6-4x2,Yellow,#F4EE2A,0,10,-15.0,15.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00011,p6-4x2,Yellow,#F4EE2A,0,11,-15.0,27.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00012,p6-4x1,Yellow,#F4EE2A,0,12,-15.0,36.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-B-00013,p6-3x1,Yellow,#F4EE2A,0,13,-12.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
