part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
DUC-C-00001,p8-1x1,Yellow,#F4EE2A,0,1,-40.0,-8.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00002,p8-2x1,Yellow,#F4EE2A,0,2,-40.0,4.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00003,p8-1x1,Yellow,#F4EE2A,0,3,-40.0,16.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00004,p8-4x1,Yellow,#F4EE2A,0,4,-20.0,-24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00005,p8-4x2,Yellow,#F4EE2A,0,5,-20.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00006,p8-4x2,Yellow,#F4EE2A,0,6,-20.0,4.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00007,p8-4x2,Yellow,#F4EE2A,0,7,-20.0,20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00008,p8-4x1,Yellow,#F4EE2A,0,8,-20.0,32.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00009,p8-3x1,Yellow,#F4EE2A,0,9,-16.0,-32.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00010,p8-3x1,Yellow,#F4EE2A,0,10,-16.0,40.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00011,p8-4x2,Yellow,#F4EE2A,0,11,12.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00012,p8-4x2,Yellow,#F4EE2A,0,12,12.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00013,p8-4x2,Yellow,#F4EE2A,0,13,12.0,4.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00014,p8-4x2,Yellow,#F4EE2A,0,14,12.0,20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-C-00015,p8-4x2,Yellow,#F4EE2A,0,15,12.0,36.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
