part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
DUC-F-00001,p4-4x2,Yellow,#F4EE2A,0,1,-26.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00002,p4-4x2,Yellow,#F4EE2A,0,2,-26.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00003,p4-4x2,Yellow,#F4EE2A,0,3,-26.0,10.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00004,p4-4x2,Yellow,#F4EE2A,0,4,-26.0,18.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00005,p4-3x2,Yellow,#F4EE2A,0,5,-24.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00006,p4-3x1,Yellow,#F4EE2A,0,6,-24.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00007,p4-2x1,Yellow,#F4EE2A,0,7,-22.0,-20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00008,p4-2x1,Yellow,#F4EE2A,0,8,-22.0,28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00009,p4-1x1,Yellow,#F4EE2A,0,9,-20.0,-24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00010,p4-1x1,Yellow,#F4EE2A,0,10,-20.0,32.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00011,p4-4x2,Yellow,#F4EE2A,0,11,-10.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00012,p4-4x2,Yellow,#F4EE2A,0,12,-10.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00013,p4-4x2,Yellow,#F4EE2A,0,13,-10.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00014,p4-4x2,Yellow,#F4EE2A,0,14,-10.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00015,p4-4x2,Yellow,#F4EE2A,0,15,-10.0,10.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00016,p4-4x2,Yellow,#F4EE2A,0,16,-10.0,18.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00017,p4-4x2,Yellow,#F4EE2A,0,17,-10.0,26.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00018,p4-4x2,Yellow,#F4EE2A,0,18,-10.0,34.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00019,p4-2x1,Yellow,#F4EE2A,0,19,-6.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00020,p4-3x1,Yellow,#F4EE2A,0,20,4.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00021,p4-4x2,Yellow,#F4EE2A,0,21,6.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00022,p4-4x2,Yellow,#F4EE2A,0,22,6.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00023,p4-4x2,Yellow,#F4EE2A,0,23,6.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00024,p4-4x2,Yellow,#F4EE2A,0,24,6.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00025,p4-4x2,Yellow,#F4EE2A,0,25,6.0,10.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00026,p4-4x2,Yellow,#F4EE2A,0,26,6.0,18.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00027,p4-4x2,Yellow,#F4EE2A,0,27,6.0,26.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00028,p4-4x2,Yellow,#F4EE2A,0,28,6.0,34.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00029,p4-2x2,Yellow,#F4EE2A,0,29,18.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00030,p4-4x2,Yellow,#F4EE2A,0,30,22.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00031,p4-4x2,Yellow,#F4EE2A,0,31,22.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00032,p4-4x2,Yellow,#F4EE2A,0,32,22.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00033,p4-4x2,Yellow,#F4EE2A,0,33,22.0,10.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
DUC-F-00034,p4-4x2,Yellow,#F4EE2A,0,34,22.0,18.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
