part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
MON-B-00001,p6-2x2,Purple,#5E43B7,0,1,-33.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00002,p6-2x2,Purple,#5E43B7,0,2,-33.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00003,p6-2x1,Purple,#5E43B7,0,3,-33.0,0.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00004,p6-1x1,Purple,#5E43B7,0,4,-30.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00005,p6-1x1,Purple,#5E43B7,0,5,-30.0,6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00006,p6-1x1,Purple,#5E43B7,0,6,-30.0,12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00007,p6-4x2,Purple,#5E43B7,0,7,-15.0,-33.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00008,p6-4x2,Purple,#5E43B7,0,8,-15.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00009,p6-4x2,Purple,#5E43B7,0,9,-15.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00010,p6-4x2,Purple,#5E43B7,0,10,-15.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00011,p6-4x1,Purple,#5E43B7,0,11,-15.0,12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00012,p6-3x1,Purple,#5E43B7,0,12,-12.0,18.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00013,p6-2x1,Purple,#5E43B7,0,13,-9.0,-42.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00014,p6-2x1,Purple,#5E43B7,0,14,-9.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00015,p6-1x1,Purple,#5E43B7,0,15,0.0,-42.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00016,p6-4x2,Purple,#5E43B7,0,16,9.0,-33.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00017,p6-4x2,Purple,#5E43B7,0,17,9.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00018,p6-4x2,Purple,#5E43B7,0,18,9.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00019,p6-4x2,Purple,#5E43B7,0,19,9.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00020,p6-4x2,Purple,#5E43B7,0,20,9.0,15.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00021,p6-2x1,Purple,#5E43B7,0,21,3.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00022,p6-2x1,Purple,#5E43B7,0,22,27.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00023,p6-2x2,Purple,#5E43B7,0,23,27.0,-21.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00024,p6-3x2,Purple,#5E43B7,0,24,30.0,-9.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00025,p6-2x2,Purple,#5E43B7,0,25,27.0,3.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00026,p6-1x1,Purple,#5E43B7,0,26,24.0,12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00027,p6-1x1,Purple,#5E43B7,0,27,36.0,-18.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-B-00031,p6-4x2,Purple,#5E43B7,1,28,-21.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00032,p6-4x2,Purple,#5E43B7,1,29,-9.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00033,p6-4x2,Purple,#5E43B7,1,30,3.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00034,p6-4x2,Purple,#5E43B7,1,31,15.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00035,p6-4x1,Purple,#5E43B7,1,32,24.0,-39.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00036,p6-3x2,Purple,#5E43B7,1,33,-33.0,-36.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00037,p6-3x1,Purple,#5E43B7,1,34,30.0,-36.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00043,p6-4x2,Purple,#5E43B7,1,35,-33.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00044,p6-4x2,Purple,#5E43B7,1,36,-21.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00045,p6-4x2,Purple,#5E43B7,1,37,-9.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00046,p6-4x2,Purple,#5E43B7,1,38,3.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00047,p6-4x2,Purple,#5E43B7,1,39,15.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00048,p6-4x2,Purple,#5E43B7,1,40,27.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00049,p6-4x2,Purple,#5E43B7,1,41,39.0,-15.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00052,p6-4x2,Purple,#5E43B7,1,42,-33.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00053,p6-4x2,Purple,#5E43B7,1,43,-21.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00054,p6-4x2,Purple,#5E43B7,1,44,-9.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
MON-B-00055,p6-4x2,Purple,#5E43B7,1,45,3.0,9.0,3.6,90,CONCEPT_NOT_FIT_VALIDATED
