part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
MON-C-00001,p8-1x1,Purple,#5E43B7,0,1,-40.0,-24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00002,p8-2x1,Purple,#5E43B7,0,2,-40.0,-12.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00003,p8-2x1,Purple,#5E43B7,0,3,-40.0,4.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00004,p8-4x2,Purple,#5E43B7,0,4,-20.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00005,p8-4x2,Purple,#5E43B7,0,5,-20.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00006,p8-4x2,Purple,#5E43B7,0,6,-20.0,4.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00007,p8-4x1,Purple,#5E43B7,0,7,-20.0,16.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00008,p8-3x1,Purple,#5E43B7,0,8,-16.0,-40.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00009,p8-3x1,Purple,#5E43B7,0,9,-16.0,24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00010,p8-1x1,Purple,#5E43B7,0,10,-8.0,-48.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00011,p8-2x1,Purple,#5E43B7,0,11,0.0,-44.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00012,p8-4x2,Purple,#5E43B7,0,12,12.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00013,p8-4x2,Purple,#5E43B7,0,13,12.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00014,p8-4x2,Purple,#5E43B7,0,14,12.0,4.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00015,p8-3x2,Purple,#5E43B7,0,15,8.0,20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00016,p8-3x1,Purple,#5E43B7,0,16,16.0,-40.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00017,p8-1x1,Purple,#5E43B7,0,17,24.0,16.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00018,p8-2x1,Purple,#5E43B7,0,18,32.0,-28.0,0.0,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00019,p8-2x2,Purple,#5E43B7,0,19,36.0,-12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00020,p8-2x1,Purple,#5E43B7,0,20,36.0,0.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00021,p8-1x1,Purple,#5E43B7,0,21,32.0,8.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00022,p8-1x1,Purple,#5E43B7,0,22,40.0,-24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-C-00023,p8-3x1,Purple,#5E43B7,1,23,-24.0,-48.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00024,p8-3x2,Purple,#5E43B7,1,24,-12.0,-48.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00025,p8-3x2,Purple,#5E43B7,1,25,4.0,-48.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00026,p8-3x2,Purple,#5E43B7,1,26,20.0,-48.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00032,p8-4x2,Purple,#5E43B7,1,27,-44.0,-20.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00033,p8-4x2,Purple,#5E43B7,1,28,-28.0,-20.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00034,p8-4x2,Purple,#5E43B7,1,29,-12.0,-20.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00035,p8-4x2,Purple,#5E43B7,1,30,4.0,-20.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00036,p8-4x2,Purple,#5E43B7,1,31,20.0,-20.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
MON-C-00037,p8-4x2,Purple,#5E43B7,1,32,36.0,-20.0,4.8,90,CONCEPT_NOT_FIT_VALIDATED
