part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,status
MON-F-00001,p4-4x1,Purple,#5E43B7,0,1,-26.0,-20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00002,p4-4x2,Purple,#5E43B7,0,2,-26.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00003,p4-4x2,Purple,#5E43B7,0,3,-26.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00004,p4-3x1,Purple,#5E43B7,0,4,-24.0,-24.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00005,p4-3x2,Purple,#5E43B7,0,5,-24.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00006,p4-2x1,Purple,#5E43B7,0,6,-22.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00007,p4-2x1,Purple,#5E43B7,0,7,-22.0,8.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00008,p4-1x1,Purple,#5E43B7,0,8,-20.0,12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00009,p4-4x2,Purple,#5E43B7,0,9,-10.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00010,p4-4x2,Purple,#5E43B7,0,10,-10.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00011,p4-4x2,Purple,#5E43B7,0,11,-10.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00012,p4-4x2,Purple,#5E43B7,0,12,-10.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00013,p4-4x2,Purple,#5E43B7,0,13,-10.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00014,p4-4x2,Purple,#5E43B7,0,14,-10.0,10.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00015,p4-3x1,Purple,#5E43B7,0,15,-8.0,16.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00016,p4-4x2,Purple,#5E43B7,0,16,6.0,-30.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00017,p4-4x2,Purple,#5E43B7,0,17,6.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00018,p4-4x2,Purple,#5E43B7,0,18,6.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00019,p4-4x2,Purple,#5E43B7,0,19,6.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00020,p4-4x2,Purple,#5E43B7,0,20,6.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00021,p4-4x2,Purple,#5E43B7,0,21,6.0,10.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00022,p4-3x1,Purple,#5E43B7,0,22,4.0,16.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00023,p4-2x1,Purple,#5E43B7,0,23,18.0,-28.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00024,p4-3x2,Purple,#5E43B7,0,24,20.0,-22.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00025,p4-4x2,Purple,#5E43B7,0,25,22.0,-14.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00026,p4-4x2,Purple,#5E43B7,0,26,22.0,-6.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00027,p4-3x2,Purple,#5E43B7,0,27,20.0,2.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00028,p4-2x1,Purple,#5E43B7,0,28,18.0,8.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00029,p4-1x1,Purple,#5E43B7,0,29,16.0,12.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00030,p4-1x1,Purple,#5E43B7,0,30,28.0,-20.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00031,p4-1x1,Purple,#5E43B7,0,31,28.0,0.0,0.0,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00043,p4-4x2,Purple,#5E43B7,1,32,-30.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00044,p4-4x2,Purple,#5E43B7,1,33,-22.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00045,p4-4x2,Purple,#5E43B7,1,34,-14.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00046,p4-4x2,Purple,#5E43B7,1,35,-6.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00047,p4-4x2,Purple,#5E43B7,1,36,2.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00048,p4-4x2,Purple,#5E43B7,1,37,10.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00049,p4-4x2,Purple,#5E43B7,1,38,18.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00050,p4-4x2,Purple,#5E43B7,1,39,26.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00057,p4-4x2,Purple,#5E43B7,1,40,-30.0,-10.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00058,p4-4x2,Purple,#5E43B7,1,41,-22.0,-10.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00059,p4-4x2,Purple,#5E43B7,1,42,-14.0,-10.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00060,p4-4x2,Purple,#5E43B7,1,43,-6.0,-10.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00061,p4-4x2,Purple,#5E43B7,1,44,2.0,-10.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00062,p4-4x2,Purple,#5E43B7,1,45,10.0,-10.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00063,p4-4x2,Purple,#5E43B7,1,46,18.0,-10.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00064,p4-4x2,Purple,#5E43B7,1,47,26.0,-10.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00068,p4-4x2,Purple,#5E43B7,1,48,-30.0,6.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00069,p4-4x2,Purple,#5E43B7,1,49,-22.0,6.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00070,p4-4x2,Purple,#5E43B7,1,50,-14.0,6.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00071,p4-4x2,Purple,#5E43B7,1,51,-6.0,6.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00072,p4-4x2,Purple,#5E43B7,1,52,2.0,6.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00073,p4-4x2,Purple,#5E43B7,1,53,10.0,6.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00074,p4-4x2,Purple,#5E43B7,1,54,18.0,6.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00075,p4-4x2,Purple,#5E43B7,1,55,26.0,6.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00082,p4-3x2,Purple,#5E43B7,1,56,-14.0,20.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00083,p4-3x2,Purple,#5E43B7,1,57,-6.0,20.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00084,p4-3x2,Purple,#5E43B7,1,58,2.0,20.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00085,p4-3x2,Purple,#5E43B7,1,59,10.0,20.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00101,p4-4x2,Purple,#5E43B7,2,60,-30.0,-34.0,4.8,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00038,p4-2x1,Purple,#5E43B7,1,61,-24.0,-38.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
MON-F-00040,p4-2x1,Purple,#5E43B7,1,62,-30.0,-36.0,2.4,0,CONCEPT_NOT_FIT_VALIDATED
MON-F-00042,p4-4x1,Purple,#5E43B7,1,63,-36.0,-26.0,2.4,90,CONCEPT_NOT_FIT_VALIDATED
