step,part_id,type_id,color_id,x_mm,y_mm,bottom_z_mm,rotation_z_deg,insertion_axis,lower_support_ids,contact_stud_sites,physical_fit,retention
1,COP-R3-0001,PL-02x04-H032,c0,-52,-92,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
2,COP-R3-0002,PL-02x04-H032,c0,-20,-92,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
3,COP-R3-0003,PL-02x04-H032,c0,12,-92,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
4,COP-R3-0004,PL-02x04-H032,c0,44,-92,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
5,COP-R3-0005,PL-02x02-H032,c0,68,-92,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
6,COP-R3-0006,PL-02x04-H032,c0,-52,-76,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
7,COP-R3-0007,PL-02x04-H032,c0,-20,-76,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
8,COP-R3-0008,PL-02x04-H032,c0,12,-76,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
9,COP-R3-0009,PL-02x04-H032,c0,44,-76,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
10,COP-R3-0010,PL-02x02-H032,c0,68,-76,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
11,COP-R3-0011,PL-02x04-H032,c0,-52,-60,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
12,COP-R3-0012,PL-02x04-H032,c0,-20,-60,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
13,COP-R3-0013,PL-02x04-H032,c0,12,-60,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
14,COP-R3-0014,PL-02x04-H032,c0,44,-60,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
15,COP-R3-0015,PL-02x02-H032,c0,68,-60,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
16,COP-R3-0016,PL-02x04-H032,c0,-52,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
17,COP-R3-0017,PL-02x04-H032,c0,-20,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
18,COP-R3-0018,PL-02x04-H032,c0,12,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
19,COP-R3-0019,PL-02x04-H032,c0,44,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
20,COP-R3-0020,PL-02x02-H032,c0,68,-44,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
21,COP-R3-0021,PL-02x04-H032,c0,-52,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
22,COP-R3-0022,PL-02x04-H032,c0,-20,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
23,COP-R3-0023,PL-02x04-H032,c0,12,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
24,COP-R3-0024,PL-02x04-H032,c0,44,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
25,COP-R3-0025,PL-02x02-H032,c0,68,-28,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
26,COP-R3-0026,PL-02x04-H032,c0,-52,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
27,COP-R3-0027,PL-02x04-H032,c0,-20,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
28,COP-R3-0028,PL-02x04-H032,c0,12,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
29,COP-R3-0029,PL-02x04-H032,c0,44,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
30,COP-R3-0030,PL-02x02-H032,c0,68,-12,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
31,COP-R3-0031,PL-02x04-H032,c0,-52,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
32,COP-R3-0032,PL-02x04-H032,c0,-20,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
33,COP-R3-0033,PL-02x04-H032,c0,12,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
34,COP-R3-0034,PL-02x04-H032,c0,44,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
35,COP-R3-0035,PL-02x02-H032,c0,68,4,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
36,COP-R3-0036,PL-02x04-H032,c0,-52,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
37,COP-R3-0037,PL-02x04-H032,c0,-20,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
38,COP-R3-0038,PL-02x04-H032,c0,12,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
39,COP-R3-0039,PL-02x04-H032,c0,44,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
40,COP-R3-0040,PL-02x02-H032,c0,68,20,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
41,COP-R3-0041,PL-02x04-H032,c0,-52,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
42,COP-R3-0042,PL-02x04-H032,c0,-20,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
43,COP-R3-0043,PL-02x04-H032,c0,12,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
44,COP-R3-0044,PL-02x04-H032,c0,44,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
45,COP-R3-0045,PL-02x02-H032,c0,68,36,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
46,COP-R3-0046,PL-02x04-H032,c0,-52,52,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
47,COP-R3-0047,PL-02x04-H032,c0,-20,52,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
48,COP-R3-0048,PL-02x04-H032,c0,12,52,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
49,COP-R3-0049,PL-02x04-H032,c0,44,52,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
50,COP-R3-0050,PL-02x02-H032,c0,68,52,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
51,COP-R3-0054,PL-02x02-H032,c0,-52,-92,3.2,0,-Z,COP-R3-0001,4,UNKNOWN,UNKNOWN
52,COP-R3-0061,PL-02x02-H032,c0,-20,-92,3.2,0,-Z,COP-R3-0002,4,UNKNOWN,UNKNOWN
53,COP-R3-0068,PL-02x02-H032,c0,12,-92,3.2,0,-Z,COP-R3-0003,4,UNKNOWN,UNKNOWN
54,COP-R3-0075,PL-02x02-H032,c0,44,-92,3.2,0,-Z,COP-R3-0004,4,UNKNOWN,UNKNOWN
55,COP-R3-0082,PL-01x02-H032,c0,72,-92,3.2,0,-Z,COP-R3-0005,2,UNKNOWN,UNKNOWN
56,COP-R3-0051,PL-01x08-H032,c0,-64,-68,3.2,0,-Z,COP-R3-0001;COP-R3-0006;COP-R3-0011;COP-R3-0016,8,UNKNOWN,UNKNOWN
57,COP-R3-0058,PL-02x08-H032,c0,-36,-68,3.2,0,-Z,COP-R3-0001;COP-R3-0002;COP-R3-0006;COP-R3-0007;COP-R3-0011;COP-R3-0012;COP-R3-0016;COP-R3-0017,16,UNKNOWN,UNKNOWN
58,COP-R3-0065,PL-02x08-H032,c0,-4,-68,3.2,0,-Z,COP-R3-0002;COP-R3-0003;COP-R3-0007;COP-R3-0008;COP-R3-0012;COP-R3-0013;COP-R3-0017;COP-R3-0018,16,UNKNOWN,UNKNOWN
59,COP-R3-0072,PL-02x08-H032,c0,28,-68,3.2,0,-Z,COP-R3-0003;COP-R3-0004;COP-R3-0008;COP-R3-0009;COP-R3-0013;COP-R3-0014;COP-R3-0018;COP-R3-0019,16,UNKNOWN,UNKNOWN
60,COP-R3-0079,PL-02x08-H032,c0,60,-68,3.2,0,-Z,COP-R3-0004;COP-R3-0005;COP-R3-0009;COP-R3-0010;COP-R3-0014;COP-R3-0015;COP-R3-0019;COP-R3-0020,16,UNKNOWN,UNKNOWN
61,COP-R3-0055,PL-02x08-H032,c0,-52,-52,3.2,0,-Z,COP-R3-0006;COP-R3-0011;COP-R3-0016;COP-R3-0021,16,UNKNOWN,UNKNOWN
62,COP-R3-0062,PL-02x08-H032,c0,-20,-52,3.2,0,-Z,COP-R3-0007;COP-R3-0012;COP-R3-0017;COP-R3-0022,16,UNKNOWN,UNKNOWN
63,COP-R3-0069,PL-02x08-H032,c0,12,-52,3.2,0,-Z,COP-R3-0008;COP-R3-0013;COP-R3-0018;COP-R3-0023,16,UNKNOWN,UNKNOWN
64,COP-R3-0076,PL-02x08-H032,c0,44,-52,3.2,0,-Z,COP-R3-0009;COP-R3-0014;COP-R3-0019;COP-R3-0024,16,UNKNOWN,UNKNOWN
65,COP-R3-0083,PL-01x08-H032,c0,72,-52,3.2,0,-Z,COP-R3-0010;COP-R3-0015;COP-R3-0020;COP-R3-0025,8,UNKNOWN,UNKNOWN
66,COP-R3-0052,PL-01x08-H032,c0,-64,-4,3.2,0,-Z,COP-R3-0021;COP-R3-0026;COP-R3-0031;COP-R3-0036,8,UNKNOWN,UNKNOWN
67,COP-R3-0059,PL-02x08-H032,c0,-36,-4,3.2,0,-Z,COP-R3-0021;COP-R3-0022;COP-R3-0026;COP-R3-0027;COP-R3-0031;COP-R3-0032;COP-R3-0036;COP-R3-0037,16,UNKNOWN,UNKNOWN
68,COP-R3-0066,PL-02x08-H032,c0,-4,-4,3.2,0,-Z,COP-R3-0022;COP-R3-0023;COP-R3-0027;COP-R3-0028;COP-R3-0032;COP-R3-0033;COP-R3-0037;COP-R3-0038,16,UNKNOWN,UNKNOWN
69,COP-R3-0073,PL-02x08-H032,c0,28,-4,3.2,0,-Z,COP-R3-0023;COP-R3-0024;COP-R3-0028;COP-R3-0029;COP-R3-0033;COP-R3-0034;COP-R3-0038;COP-R3-0039,16,UNKNOWN,UNKNOWN
70,COP-R3-0080,PL-02x08-H032,c0,60,-4,3.2,0,-Z,COP-R3-0024;COP-R3-0025;COP-R3-0029;COP-R3-0030;COP-R3-0034;COP-R3-0035;COP-R3-0039;COP-R3-0040,16,UNKNOWN,UNKNOWN
71,COP-R3-0056,PL-02x08-H032,c0,-52,12,3.2,0,-Z,COP-R3-0026;COP-R3-0031;COP-R3-0036;COP-R3-0041,16,UNKNOWN,UNKNOWN
72,COP-R3-0063,PL-02x08-H032,c0,-20,12,3.2,0,-Z,COP-R3-0027;COP-R3-0032;COP-R3-0037;COP-R3-0042,16,UNKNOWN,UNKNOWN
73,COP-R3-0070,PL-02x08-H032,c0,12,12,3.2,0,-Z,COP-R3-0028;COP-R3-0033;COP-R3-0038;COP-R3-0043,16,UNKNOWN,UNKNOWN
74,COP-R3-0077,PL-02x08-H032,c0,44,12,3.2,0,-Z,COP-R3-0029;COP-R3-0034;COP-R3-0039;COP-R3-0044,16,UNKNOWN,UNKNOWN
75,COP-R3-0084,PL-01x08-H032,c0,72,12,3.2,0,-Z,COP-R3-0030;COP-R3-0035;COP-R3-0040;COP-R3-0045,8,UNKNOWN,UNKNOWN
76,COP-R3-0053,PL-01x04-H032,c0,-64,44,3.2,0,-Z,COP-R3-0041;COP-R3-0046,4,UNKNOWN,UNKNOWN
77,COP-R3-0060,PL-02x04-H032,c0,-36,44,3.2,0,-Z,COP-R3-0041;COP-R3-0042;COP-R3-0046;COP-R3-0047,8,UNKNOWN,UNKNOWN
78,COP-R3-0067,PL-02x04-H032,c0,-4,44,3.2,0,-Z,COP-R3-0042;COP-R3-0043;COP-R3-0047;COP-R3-0048,8,UNKNOWN,UNKNOWN
79,COP-R3-0074,PL-02x04-H032,c0,28,44,3.2,0,-Z,COP-R3-0043;COP-R3-0044;COP-R3-0048;COP-R3-0049,8,UNKNOWN,UNKNOWN
80,COP-R3-0081,PL-02x04-H032,c0,60,44,3.2,0,-Z,COP-R3-0044;COP-R3-0045;COP-R3-0049;COP-R3-0050,8,UNKNOWN,UNKNOWN
81,COP-R3-0057,PL-02x02-H032,c0,-52,52,3.2,0,-Z,COP-R3-0046,4,UNKNOWN,UNKNOWN
82,COP-R3-0064,PL-02x02-H032,c0,-20,52,3.2,0,-Z,COP-R3-0047,4,UNKNOWN,UNKNOWN
83,COP-R3-0071,PL-02x02-H032,c0,12,52,3.2,0,-Z,COP-R3-0048,4,UNKNOWN,UNKNOWN
84,COP-R3-0078,PL-02x02-H032,c0,44,52,3.2,0,-Z,COP-R3-0049,4,UNKNOWN,UNKNOWN
85,COP-R3-0085,PL-01x02-H032,c0,72,52,3.2,0,-Z,COP-R3-0050,2,UNKNOWN,UNKNOWN
86,COP-R3-0099,BR-02x04-H096,c0,28,-92,6.4,270,-Z,COP-R3-0068;COP-R3-0072;COP-R3-0075,8,UNKNOWN,UNKNOWN
87,COP-R3-0092,BR-04x06-H096,c0,-12,-84,6.4,270,-Z,COP-R3-0058;COP-R3-0061;COP-R3-0062;COP-R3-0065;COP-R3-0068;COP-R3-0069,24,UNKNOWN,UNKNOWN
88,COP-R3-0090,BR-02x02-H096,c0,-44,-76,6.4,0,-Z,COP-R3-0055;COP-R3-0058,4,UNKNOWN,UNKNOWN
89,COP-R3-0100,BR-04x06-H096,c0,36,-68,6.4,270,-Z,COP-R3-0069;COP-R3-0072;COP-R3-0076;COP-R3-0079,24,UNKNOWN,UNKNOWN
90,COP-R3-0097,BR-02x02-H096,c0,4,-60,6.4,0,-Z,COP-R3-0065;COP-R3-0069,4,UNKNOWN,UNKNOWN
91,COP-R3-0091,BR-04x06-H096,c0,-28,-52,6.4,270,-Z,COP-R3-0055;COP-R3-0058;COP-R3-0062;COP-R3-0065,24,UNKNOWN,UNKNOWN
92,COP-R3-0086,BR-02x02-H096,c0,-60,-44,6.4,0,-Z,COP-R3-0051;COP-R3-0055,4,UNKNOWN,UNKNOWN
93,COP-R3-0104,BR-02x02-H096,c0,52,-44,6.4,0,-Z,COP-R3-0076;COP-R3-0079,4,UNKNOWN,UNKNOWN
94,COP-R3-0098,BR-04x06-H096,c0,20,-36,6.4,270,-Z,COP-R3-0065;COP-R3-0066;COP-R3-0069;COP-R3-0072;COP-R3-0073;COP-R3-0076,24,UNKNOWN,UNKNOWN
95,COP-R3-0094,BR-02x02-H096,c0,-12,-28,6.4,0,-Z,COP-R3-0062;COP-R3-0066,4,UNKNOWN,UNKNOWN
96,COP-R3-0105,BR-02x04-H096,c0,60,-28,6.4,270,-Z,COP-R3-0076;COP-R3-0080;COP-R3-0083,8,UNKNOWN,UNKNOWN
