part_id,type_id,color_id,color,hex,step,bottom_z_mm,body_height_mm,x_mm,y_mm,rotation_z_deg,role,small_exception,status
COP-R3-0001,PL-02x04-H032,c0,Indigo purple,#482960,1,0.0,3.2,-52,-92,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0002,PL-02x04-H032,c0,Indigo purple,#482960,2,0.0,3.2,-20,-92,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0003,PL-02x04-H032,c0,Indigo purple,#482960,3,0.0,3.2,12,-92,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0004,PL-02x04-H032,c0,Indigo purple,#482960,4,0.0,3.2,44,-92,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0005,PL-02x02-H032,c0,Indigo purple,#482960,5,0.0,3.2,68,-92,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0006,PL-02x04-H032,c0,Indigo purple,#482960,6,0.0,3.2,-52,-76,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0007,PL-02x04-H032,c0,Indigo purple,#482960,7,0.0,3.2,-20,-76,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0008,PL-02x04-H032,c0,Indigo purple,#482960,8,0.0,3.2,12,-76,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0009,PL-02x04-H032,c0,Indigo purple,#482960,9,0.0,3.2,44,-76,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0010,PL-02x02-H032,c0,Indigo purple,#482960,10,0.0,3.2,68,-76,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0011,PL-02x04-H032,c0,Indigo purple,#482960,11,0.0,3.2,-52,-60,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0012,PL-02x04-H032,c0,Indigo purple,#482960,12,0.0,3.2,-20,-60,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0013,PL-02x04-H032,c0,Indigo purple,#482960,13,0.0,3.2,12,-60,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0014,PL-02x04-H032,c0,Indigo purple,#482960,14,0.0,3.2,44,-60,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0015,PL-02x02-H032,c0,Indigo purple,#482960,15,0.0,3.2,68,-60,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0016,PL-02x04-H032,c0,Indigo purple,#482960,16,0.0,3.2,-52,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0017,PL-02x04-H032,c0,Indigo purple,#482960,17,0.0,3.2,-20,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0018,PL-02x04-H032,c0,Indigo purple,#482960,18,0.0,3.2,12,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0019,PL-02x04-H032,c0,Indigo purple,#482960,19,0.0,3.2,44,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0020,PL-02x02-H032,c0,Indigo purple,#482960,20,0.0,3.2,68,-44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0021,PL-02x04-H032,c0,Indigo purple,#482960,21,0.0,3.2,-52,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0022,PL-02x04-H032,c0,Indigo purple,#482960,22,0.0,3.2,-20,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0023,PL-02x04-H032,c0,Indigo purple,#482960,23,0.0,3.2,12,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0024,PL-02x04-H032,c0,Indigo purple,#482960,24,0.0,3.2,44,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0025,PL-02x02-H032,c0,Indigo purple,#482960,25,0.0,3.2,68,-28,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0026,PL-02x04-H032,c0,Indigo purple,#482960,26,0.0,3.2,-52,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0027,PL-02x04-H032,c0,Indigo purple,#482960,27,0.0,3.2,-20,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0028,PL-02x04-H032,c0,Indigo purple,#482960,28,0.0,3.2,12,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0029,PL-02x04-H032,c0,Indigo purple,#482960,29,0.0,3.2,44,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0030,PL-02x02-H032,c0,Indigo purple,#482960,30,0.0,3.2,68,-12,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0031,PL-02x04-H032,c0,Indigo purple,#482960,31,0.0,3.2,-52,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0032,PL-02x04-H032,c0,Indigo purple,#482960,32,0.0,3.2,-20,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0033,PL-02x04-H032,c0,Indigo purple,#482960,33,0.0,3.2,12,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0034,PL-02x04-H032,c0,Indigo purple,#482960,34,0.0,3.2,44,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0035,PL-02x02-H032,c0,Indigo purple,#482960,35,0.0,3.2,68,4,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0036,PL-02x04-H032,c0,Indigo purple,#482960,36,0.0,3.2,-52,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0037,PL-02x04-H032,c0,Indigo purple,#482960,37,0.0,3.2,-20,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0038,PL-02x04-H032,c0,Indigo purple,#482960,38,0.0,3.2,12,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0039,PL-02x04-H032,c0,Indigo purple,#482960,39,0.0,3.2,44,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0040,PL-02x02-H032,c0,Indigo purple,#482960,40,0.0,3.2,68,20,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0041,PL-02x04-H032,c0,Indigo purple,#482960,41,0.0,3.2,-52,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0042,PL-02x04-H032,c0,Indigo purple,#482960,42,0.0,3.2,-20,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
COP-R3-0043,PL-02x04-H032,c0,Indigo purple,#482960,43,0.0,3.2,12,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
