step,part_id,type_id,color_id,x_mm,y_mm,bottom_z_mm,rotation_z_deg,insertion_axis,lower_support_ids,contact_stud_sites,physical_fit,retention
1,DUC-R3-0001,PL-02x04-H032,c0,-36,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
2,DUC-R3-0002,PL-02x04-H032,c0,-4,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
3,DUC-R3-0003,PL-02x04-H032,c0,28,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
4,DUC-R3-0004,PL-02x02-H032,c0,52,-44,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
5,DUC-R3-0005,PL-02x04-H032,c0,-36,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
6,DUC-R3-0006,PL-02x04-H032,c0,-4,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
7,DUC-R3-0007,PL-02x04-H032,c0,28,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
8,DUC-R3-0008,PL-02x02-H032,c0,52,-28,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
9,DUC-R3-0009,PL-02x04-H032,c0,-36,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
10,DUC-R3-0010,PL-02x04-H032,c0,-4,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
11,DUC-R3-0011,PL-02x04-H032,c0,28,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
12,DUC-R3-0012,PL-02x02-H032,c0,52,-12,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
13,DUC-R3-0013,PL-02x04-H032,c0,-36,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
14,DUC-R3-0014,PL-02x04-H032,c0,-4,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
15,DUC-R3-0015,PL-02x04-H032,c0,28,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
16,DUC-R3-0016,PL-02x02-H032,c0,52,4,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
17,DUC-R3-0017,PL-02x04-H032,c0,-36,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
18,DUC-R3-0018,PL-02x04-H032,c0,-4,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
19,DUC-R3-0019,PL-02x04-H032,c0,28,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
20,DUC-R3-0020,PL-02x02-H032,c0,52,20,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
21,DUC-R3-0021,PL-02x04-H032,c0,-36,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
22,DUC-R3-0022,PL-02x04-H032,c0,-4,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
23,DUC-R3-0023,PL-02x04-H032,c0,28,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
24,DUC-R3-0024,PL-02x02-H032,c0,52,36,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
25,DUC-R3-0025,PL-02x04-H032,c0,-36,52,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
26,DUC-R3-0026,PL-02x04-H032,c0,-4,52,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
27,DUC-R3-0027,PL-02x04-H032,c0,28,52,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
28,DUC-R3-0028,PL-02x02-H032,c0,52,52,0.0,0,-Z,,0,UNKNOWN,UNKNOWN
29,DUC-R3-0031,PL-02x02-H032,c0,-36,-44,3.2,0,-Z,DUC-R3-0001,4,UNKNOWN,UNKNOWN
30,DUC-R3-0036,PL-02x02-H032,c0,-4,-44,3.2,0,-Z,DUC-R3-0002,4,UNKNOWN,UNKNOWN
31,DUC-R3-0041,PL-02x02-H032,c0,28,-44,3.2,0,-Z,DUC-R3-0003,4,UNKNOWN,UNKNOWN
32,DUC-R3-0046,PL-01x02-H032,c0,56,-44,3.2,0,-Z,DUC-R3-0004,2,UNKNOWN,UNKNOWN
33,DUC-R3-0029,PL-01x08-H032,c0,-48,-20,3.2,0,-Z,DUC-R3-0001;DUC-R3-0005;DUC-R3-0009;DUC-R3-0013,8,UNKNOWN,UNKNOWN
34,DUC-R3-0034,PL-02x08-H032,c0,-20,-20,3.2,0,-Z,DUC-R3-0001;DUC-R3-0002;DUC-R3-0005;DUC-R3-0006;DUC-R3-0009;DUC-R3-0010;DUC-R3-0013;DUC-R3-0014,16,UNKNOWN,UNKNOWN
35,DUC-R3-0039,PL-02x08-H032,c0,12,-20,3.2,0,-Z,DUC-R3-0002;DUC-R3-0003;DUC-R3-0006;DUC-R3-0007;DUC-R3-0010;DUC-R3-0011;DUC-R3-0014;DUC-R3-0015,16,UNKNOWN,UNKNOWN
36,DUC-R3-0044,PL-02x08-H032,c0,44,-20,3.2,0,-Z,DUC-R3-0003;DUC-R3-0004;DUC-R3-0007;DUC-R3-0008;DUC-R3-0011;DUC-R3-0012;DUC-R3-0015;DUC-R3-0016,16,UNKNOWN,UNKNOWN
