part_id,type_id,color_id,color,hex,step,bottom_z_mm,body_height_mm,x_mm,y_mm,rotation_z_deg,role,small_exception,status
DUC-R3-0001,PL-02x04-H032,c0,Yellow,#F4EE2A,1,0.0,3.2,-36,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0002,PL-02x04-H032,c0,Yellow,#F4EE2A,2,0.0,3.2,-4,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0003,PL-02x04-H032,c0,Yellow,#F4EE2A,3,0.0,3.2,28,-44,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0004,PL-02x02-H032,c0,Yellow,#F4EE2A,4,0.0,3.2,52,-44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0005,PL-02x04-H032,c0,Yellow,#F4EE2A,5,0.0,3.2,-36,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0006,PL-02x04-H032,c0,Yellow,#F4EE2A,6,0.0,3.2,-4,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0007,PL-02x04-H032,c0,Yellow,#F4EE2A,7,0.0,3.2,28,-28,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0008,PL-02x02-H032,c0,Yellow,#F4EE2A,8,0.0,3.2,52,-28,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0009,PL-02x04-H032,c0,Yellow,#F4EE2A,9,0.0,3.2,-36,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0010,PL-02x04-H032,c0,Yellow,#F4EE2A,10,0.0,3.2,-4,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0011,PL-02x04-H032,c0,Yellow,#F4EE2A,11,0.0,3.2,28,-12,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0012,PL-02x02-H032,c0,Yellow,#F4EE2A,12,0.0,3.2,52,-12,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0013,PL-02x04-H032,c0,Yellow,#F4EE2A,13,0.0,3.2,-36,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0014,PL-02x04-H032,c0,Yellow,#F4EE2A,14,0.0,3.2,-4,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0015,PL-02x04-H032,c0,Yellow,#F4EE2A,15,0.0,3.2,28,4,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0016,PL-02x02-H032,c0,Yellow,#F4EE2A,16,0.0,3.2,52,4,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0017,PL-02x04-H032,c0,Yellow,#F4EE2A,17,0.0,3.2,-36,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0018,PL-02x04-H032,c0,Yellow,#F4EE2A,18,0.0,3.2,-4,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0019,PL-02x04-H032,c0,Yellow,#F4EE2A,19,0.0,3.2,28,20,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0020,PL-02x02-H032,c0,Yellow,#F4EE2A,20,0.0,3.2,52,20,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0021,PL-02x04-H032,c0,Yellow,#F4EE2A,21,0.0,3.2,-36,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0022,PL-02x04-H032,c0,Yellow,#F4EE2A,22,0.0,3.2,-4,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0023,PL-02x04-H032,c0,Yellow,#F4EE2A,23,0.0,3.2,28,36,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0024,PL-02x02-H032,c0,Yellow,#F4EE2A,24,0.0,3.2,52,36,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0025,PL-02x04-H032,c0,Yellow,#F4EE2A,25,0.0,3.2,-36,52,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0026,PL-02x04-H032,c0,Yellow,#F4EE2A,26,0.0,3.2,-4,52,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0027,PL-02x04-H032,c0,Yellow,#F4EE2A,27,0.0,3.2,28,52,270,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0028,PL-02x02-H032,c0,Yellow,#F4EE2A,28,0.0,3.2,52,52,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0031,PL-02x02-H032,c0,Yellow,#F4EE2A,29,3.2,3.2,-36,-44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0036,PL-02x02-H032,c0,Yellow,#F4EE2A,30,3.2,3.2,-4,-44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0041,PL-02x02-H032,c0,Yellow,#F4EE2A,31,3.2,3.2,28,-44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0046,PL-01x02-H032,c0,Yellow,#F4EE2A,32,3.2,3.2,56,-44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0029,PL-01x08-H032,c0,Yellow,#F4EE2A,33,3.2,3.2,-48,-20,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0034,PL-02x08-H032,c0,Yellow,#F4EE2A,34,3.2,3.2,-20,-20,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0039,PL-02x08-H032,c0,Yellow,#F4EE2A,35,3.2,3.2,12,-20,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0044,PL-02x08-H032,c0,Yellow,#F4EE2A,36,3.2,3.2,44,-20,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0032,PL-02x08-H032,c0,Yellow,#F4EE2A,37,3.2,3.2,-36,-4,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0037,PL-02x08-H032,c0,Yellow,#F4EE2A,38,3.2,3.2,-4,-4,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0042,PL-02x08-H032,c0,Yellow,#F4EE2A,39,3.2,3.2,28,-4,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0047,PL-01x08-H032,c0,Yellow,#F4EE2A,40,3.2,3.2,56,-4,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0030,PL-01x06-H032,c0,Yellow,#F4EE2A,41,3.2,3.2,-48,36,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0035,PL-02x06-H032,c0,Yellow,#F4EE2A,42,3.2,3.2,-20,36,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0040,PL-02x06-H032,c0,Yellow,#F4EE2A,43,3.2,3.2,12,36,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0045,PL-02x06-H032,c0,Yellow,#F4EE2A,44,3.2,3.2,44,36,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0033,PL-02x04-H032,c0,Yellow,#F4EE2A,45,3.2,3.2,-36,44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0038,PL-02x04-H032,c0,Yellow,#F4EE2A,46,3.2,3.2,-4,44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0043,PL-02x04-H032,c0,Yellow,#F4EE2A,47,3.2,3.2,28,44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0048,PL-01x04-H032,c0,Yellow,#F4EE2A,48,3.2,3.2,56,44,0,foundation-plate,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0053,BR-04x06-H096,c0,Yellow,#F4EE2A,49,6.4,9.6,4,-36,270,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0051,BR-02x02-H096,c0,Yellow,#F4EE2A,50,6.4,9.6,-28,-28,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0057,BR-02x02-H096,c0,Yellow,#F4EE2A,51,6.4,9.6,36,-28,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0049,BR-04x06-H096,c0,Yellow,#F4EE2A,52,6.4,9.6,-28,-4,270,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0055,BR-04x06-H096,c0,Yellow,#F4EE2A,53,6.4,9.6,20,-4,270,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0058,BR-02x02-H096,c0,Yellow,#F4EE2A,54,6.4,9.6,52,4,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0050,BR-02x02-H096,c0,Yellow,#F4EE2A,55,6.4,9.6,-44,20,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0052,BR-04x06-H096,c0,Yellow,#F4EE2A,56,6.4,9.6,-12,28,270,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0056,BR-04x04-H096,c0,Yellow,#F4EE2A,57,6.4,9.6,28,28,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0054,BR-02x06-H096,c0,Yellow,#F4EE2A,58,6.4,9.6,4,52,270,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0069,BR-02x03-H096,c0,Yellow,#F4EE2A,59,16.0,9.6,4,-56,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0065,CT-03C-H096-c1d6f05dcc,c0,Yellow,#F4EE2A,60,16.0,9.6,-12,-44,0,supported-contour-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0070,CT-05C-H096-c763985811,c0,Yellow,#F4EE2A,61,16.0,9.6,16,-44,270,supported-contour-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0062,BR-02x04-H096,c0,Yellow,#F4EE2A,62,16.0,9.6,-28,-36,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0072,BR-02x04-H096,c0,Yellow,#F4EE2A,63,16.0,9.6,36,-36,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0059,CT-08C-H096-b34d7e82a8,c0,Yellow,#F4EE2A,64,16.0,9.6,-52,-24,270,supported-contour-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0067,BR-02x08-H096,c0,Yellow,#F4EE2A,65,16.0,9.6,-4,-12,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0060,BR-02x06-H096,c0,Yellow,#F4EE2A,66,16.0,9.6,-44,-4,270,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0066,BR-01x02-H096,c0,Yellow,#F4EE2A,67,16.0,9.6,-16,-4,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0071,BR-02x04-H096,c0,Yellow,#F4EE2A,68,16.0,9.6,20,-4,270,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0074,BR-01x02-H096,c0,Yellow,#F4EE2A,69,16.0,9.6,40,-4,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0075,BR-02x08-H096,c0,Yellow,#F4EE2A,70,16.0,9.6,52,-4,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0061,CT-14C-H096-7783926aa4,c0,Yellow,#F4EE2A,71,16.0,9.6,-52,24,180,supported-contour-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0068,BR-02x03-H096,c0,Yellow,#F4EE2A,72,16.0,9.6,-4,32,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
DUC-R3-0063,BR-02x02-H096,c0,Yellow,#F4EE2A,73,16.0,9.6,-28,36,0,common-brick,False,DIGITAL_PROTOTYPE_NOT_PHYSICALLY_TESTED
