step,part_id,type_id,color_id,x_mm,y_mm,bottom_z_mm,rotation_z_deg,insertion_axis,lower_support_ids,contact_stud_sites,physical_fit,retention
1,MON-R3-0001,PL-02x04-H032,c0,-52,-60,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
2,MON-R3-0002,PL-02x04-H032,c0,-20,-60,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
3,MON-R3-0003,PL-02x04-H032,c0,12,-60,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
4,MON-R3-0004,PL-02x04-H032,c0,44,-60,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
5,MON-R3-0005,PL-02x04-H032,c0,-52,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
6,MON-R3-0006,PL-02x04-H032,c0,-20,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
7,MON-R3-0007,PL-02x04-H032,c0,12,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
8,MON-R3-0008,PL-02x04-H032,c0,44,-44,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
9,MON-R3-0009,PL-02x04-H032,c0,-52,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
10,MON-R3-0010,PL-02x04-H032,c0,-20,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
11,MON-R3-0011,PL-02x04-H032,c0,12,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
12,MON-R3-0012,PL-02x04-H032,c0,44,-28,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
13,MON-R3-0013,PL-02x04-H032,c0,-52,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
14,MON-R3-0014,PL-02x04-H032,c0,-20,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
15,MON-R3-0015,PL-02x04-H032,c0,12,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
16,MON-R3-0016,PL-02x04-H032,c0,44,-12,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
17,MON-R3-0017,PL-02x04-H032,c0,-52,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
18,MON-R3-0018,PL-02x04-H032,c0,-20,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
19,MON-R3-0019,PL-02x04-H032,c0,12,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
20,MON-R3-0020,PL-02x04-H032,c0,44,4,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
21,MON-R3-0021,PL-02x04-H032,c0,-52,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
22,MON-R3-0022,PL-02x04-H032,c0,-20,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
23,MON-R3-0023,PL-02x04-H032,c0,12,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
24,MON-R3-0024,PL-02x04-H032,c0,44,20,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
25,MON-R3-0025,PL-02x04-H032,c0,-52,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
26,MON-R3-0026,PL-02x04-H032,c0,-20,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
27,MON-R3-0027,PL-02x04-H032,c0,12,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
28,MON-R3-0028,PL-02x04-H032,c0,44,36,0.0,270,-Z,,0,UNKNOWN,UNKNOWN
29,MON-R3-0031,PL-02x02-H032,c0,-52,-60,3.2,0,-Z,MON-R3-0001,4,UNKNOWN,UNKNOWN
30,MON-R3-0036,PL-02x02-H032,c0,-20,-60,3.2,0,-Z,MON-R3-0002,4,UNKNOWN,UNKNOWN
31,MON-R3-0041,PL-02x02-H032,c0,12,-60,3.2,0,-Z,MON-R3-0003,4,UNKNOWN,UNKNOWN
32,MON-R3-0046,PL-02x02-H032,c0,44,-60,3.2,0,-Z,MON-R3-0004,4,UNKNOWN,UNKNOWN
33,MON-R3-0029,PL-01x08-H032,c0,-64,-36,3.2,0,-Z,MON-R3-0001;MON-R3-0005;MON-R3-0009;MON-R3-0013,8,UNKNOWN,UNKNOWN
34,MON-R3-0034,PL-02x08-H032,c0,-36,-36,3.2,0,-Z,MON-R3-0001;MON-R3-0002;MON-R3-0005;MON-R3-0006;MON-R3-0009;MON-R3-0010;MON-R3-0013;MON-R3-0014,16,UNKNOWN,UNKNOWN
35,MON-R3-0039,PL-02x08-H032,c0,-4,-36,3.2,0,-Z,MON-R3-0002;MON-R3-0003;MON-R3-0006;MON-R3-0007;MON-R3-0010;MON-R3-0011;MON-R3-0014;MON-R3-0015,16,UNKNOWN,UNKNOWN
