type_id,color_id,name,hex,quantity,body_width_mm,body_depth_mm,body_height_mm,native_stl
BR-01x01-H096,c1,Jade white,#FFFFFF,3,7.8,7.8,9.6,../cad/parts/BR-01x01-H096.stl
BR-01x01-H096,c2,Black,#000000,2,7.8,7.8,9.6,../cad/parts/BR-01x01-H096.stl
BR-01x02-H096,c0,Purple,#5E43B7,47,7.8,15.8,9.6,../cad/parts/BR-01x02-H096.stl
BR-01x02-H096,c2,Black,#000000,5,7.8,15.8,9.6,../cad/parts/BR-01x02-H096.stl
BR-01x02-H096,c3,Hot pink,#F5547C,15,7.8,15.8,9.6,../cad/parts/BR-01x02-H096.stl
BR-01x03-H096,c0,Purple,#5E43B7,12,7.8,23.8,9.6,../cad/parts/BR-01x03-H096.stl
BR-01x03-H096,c2,Black,#000000,1,7.8,23.8,9.6,../cad/parts/BR-01x03-H096.stl
BR-01x03-H096,c3,Hot pink,#F5547C,4,7.8,23.8,9.6,../cad/parts/BR-01x03-H096.stl
BR-01x04-H096,c0,Purple,#5E43B7,6,7.8,31.8,9.6,../cad/parts/BR-01x04-H096.stl
BR-01x04-H096,c3,Hot pink,#F5547C,2,7.8,31.8,9.6,../cad/parts/BR-01x04-H096.stl
BR-01x06-H096,c0,Purple,#5E43B7,6,7.8,47.8,9.6,../cad/parts/BR-01x06-H096.stl
BR-01x08-H096,c0,Purple,#5E43B7,5,7.8,63.8,9.6,../cad/parts/BR-01x08-H096.stl
BR-01x08-H096,c3,Hot pink,#F5547C,1,7.8,63.8,9.6,../cad/parts/BR-01x08-H096.stl
BR-01x09-H096,c0,Purple,#5E43B7,2,7.8,71.8,9.6,../cad/parts/BR-01x09-H096.stl
BR-02x02-H096,c0,Purple,#5E43B7,35,15.8,15.8,9.6,../cad/parts/BR-02x02-H096.stl
BR-02x02-H096,c3,Hot pink,#F5547C,3,15.8,15.8,9.6,../cad/parts/BR-02x02-H096.stl
BR-02x03-H096,c0,Purple,#5E43B7,21,15.8,23.8,9.6,../cad/parts/BR-02x03-H096.stl
BR-02x03-H096,c1,Jade white,#FFFFFF,1,15.8,23.8,9.6,../cad/parts/BR-02x03-H096.stl
