step,operation,part_or_aid_id,axis,attach_to,support_stud_sites,support_class,condition
1,PLACE_PROTOTYPE_PART,COP-C-00001,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
2,PLACE_PROTOTYPE_PART,COP-C-00002,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
3,PLACE_PROTOTYPE_PART,COP-C-00003,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
4,PLACE_PROTOTYPE_PART,COP-C-00004,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
5,PLACE_PROTOTYPE_PART,COP-C-00005,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
6,PLACE_PROTOTYPE_PART,COP-C-00006,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
7,PLACE_PROTOTYPE_PART,COP-C-00007,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
8,PLACE_PROTOTYPE_PART,COP-C-00008,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
9,PLACE_PROTOTYPE_PART,COP-C-00009,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
10,PLACE_PROTOTYPE_PART,COP-C-00010,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
11,PLACE_PROTOTYPE_PART,COP-C-00011,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
12,PLACE_PROTOTYPE_PART,COP-C-00012,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
13,PLACE_PROTOTYPE_PART,COP-C-00013,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
14,PLACE_PROTOTYPE_PART,COP-C-00014,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
15,PLACE_PROTOTYPE_PART,COP-C-00015,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
16,PLACE_PROTOTYPE_PART,COP-C-00016,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
17,PLACE_PROTOTYPE_PART,COP-C-00017,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
18,PLACE_PROTOTYPE_PART,COP-C-00018,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
19,PLACE_PROTOTYPE_PART,COP-C-00019,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
20,PLACE_PROTOTYPE_PART,COP-C-00020,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
21,PLACE_PROTOTYPE_PART,COP-C-00021,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
22,PLACE_PROTOTYPE_PART,COP-C-00022,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
23,PLACE_PROTOTYPE_PART,COP-C-00023,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
24,PLACE_PROTOTYPE_PART,COP-C-00024,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
25,PLACE_PROTOTYPE_PART,COP-C-00025,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
26,PLACE_PROTOTYPE_PART,COP-C-00026,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
27,PLACE_PROTOTYPE_PART,COP-C-00027,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
28,PLACE_PROTOTYPE_PART,COP-C-00028,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
29,PLACE_PROTOTYPE_PART,COP-C-00029,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
30,PLACE_PROTOTYPE_PART,COP-C-00030,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
31,PLACE_PROTOTYPE_PART,COP-C-00031,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
32,PLACE_PROTOTYPE_PART,COP-C-00032,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
33,PLACE_PROTOTYPE_PART,COP-C-00033,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
34,PLACE_PROTOTYPE_PART,COP-C-00034,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
35,PLACE_PROTOTYPE_PART,COP-C-00035,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
36,PLACE_PROTOTYPE_PART,COP-C-00036,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
37,PLACE_PROTOTYPE_PART,COP-C-00037,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
38,PLACE_PROTOTYPE_PART,COP-C-00038,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
39,PLACE_PROTOTYPE_PART,COP-R2-00001,-Z,COP-C-00001,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
40,PLACE_PROTOTYPE_PART,COP-R2-00002,-Z,COP-C-00002,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
41,PLACE_PROTOTYPE_PART,COP-R2-00003,-Z,COP-C-00016,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
42,PLACE_PROTOTYPE_PART,COP-R2-00004,-Z,COP-C-00003,4,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
43,PLACE_PROTOTYPE_PART,COP-C-00059,-Z,COP-C-00004,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
44,PLACE_PROTOTYPE_PART,COP-C-00071,-Z,COP-C-00005,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
45,PLACE_PROTOTYPE_PART,COP-R2-00005,-Z,COP-C-00017,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
46,PLACE_PROTOTYPE_PART,COP-C-00049,-Z,COP-C-00011,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
47,PLACE_PROTOTYPE_PART,COP-C-00060,-Z,COP-C-00013,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
