type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p8-10c-63a4682badf1,Indigo purple,#482960,4,10,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-10c-63a4682badf1.stl
r2-p8-10c-699c9ac84be5,Indigo purple,#482960,3,10,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-10c-699c9ac84be5.stl
r2-p8-10c-b57265b20383,Indigo purple,#482960,1,10,"[[0,0],[0,1],[0,2],[1,1],[1,2],[2,1],[2,2],[3,2],[4,2],[5,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-10c-b57265b20383.stl
r2-p8-10c-ee2bdff04dc6,Indigo purple,#482960,1,10,"[[0,0],[0,1],[0,2],[1,0],[1,1],[2,0],[2,1],[3,0],[4,0],[5,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-10c-ee2bdff04dc6.stl
r2-p8-11c-1f3f7b12808d,Indigo purple,#482960,1,11,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-11c-1f3f7b12808d.stl
r2-p8-11c-544eb592288c,Indigo purple,#482960,1,11,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[3,0],[3,1],[4,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-11c-544eb592288c.stl
r2-p8-11c-5ade05e470ee,Indigo purple,#482960,1,11,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-11c-5ade05e470ee.stl
r2-p8-11c-ff71fb7c033f,Indigo purple,#482960,1,11,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-11c-ff71fb7c033f.stl
r2-p8-12c-36204488a233,Indigo purple,#482960,1,12,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-12c-36204488a233.stl
r2-p8-12c-41587ecb2a41,Indigo purple,#482960,1,12,"[[0,0],[0,1],[0,2],[1,1],[1,2],[2,1],[2,2],[3,1],[3,2],[4,2],[5,2],[6,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p8-12c-41587ecb2a41.stl
