part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
COP-C-00001,r2-p8-6c-f8970603e784,Indigo purple,#482960,0,1,-48.0,-12.0,0.0,0,-Z,GROUND,,COP-C-00001,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00002,r2-p8-3c-59ad165cac4b,Indigo purple,#482960,0,2,-48.0,0.0,0.0,0,-Z,GROUND,,COP-C-00002,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00003,r2-p8-2c-021c6b8baa17,Indigo purple,#482960,0,3,-44.0,-40.0,0.0,0,-Z,GROUND,,COP-C-00003,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00004,r2-p8-4c-4f58144d0208,Indigo purple,#482960,0,4,-44.0,-28.0,0.0,0,-Z,GROUND,,COP-C-00004,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00005,r2-p8-2c-021c6b8baa17,Indigo purple,#482960,0,5,-44.0,8.0,0.0,0,-Z,GROUND,,COP-C-00005,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00006,r2-p8-2c-021c6b8baa17,Indigo purple,#482960,0,6,-44.0,16.0,0.0,0,-Z,GROUND,,COP-C-00006,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00007,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,7,-40.0,-56.0,0.0,0,-Z,GROUND,,COP-C-00007,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00008,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,8,-40.0,-48.0,0.0,0,-Z,GROUND,,COP-C-00008,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00009,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,9,-40.0,24.0,0.0,0,-Z,GROUND,,COP-C-00009,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00010,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,10,-20.0,-60.0,0.0,0,-Z,GROUND,,COP-C-00010,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00011,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,11,-20.0,-44.0,0.0,0,-Z,GROUND,,COP-C-00011,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00012,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,12,-20.0,-28.0,0.0,0,-Z,GROUND,,COP-C-00012,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00013,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,13,-20.0,-12.0,0.0,0,-Z,GROUND,,COP-C-00013,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00014,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,14,-20.0,4.0,0.0,0,-Z,GROUND,,COP-C-00014,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00015,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,15,-20.0,20.0,0.0,0,-Z,GROUND,,COP-C-00015,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00016,r2-p8-4c-3aff0bc679b6,Indigo purple,#482960,0,16,-20.0,32.0,0.0,0,-Z,GROUND,,COP-C-00016,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00017,r2-p8-3c-59ad165cac4b,Indigo purple,#482960,0,17,-16.0,-72.0,0.0,0,-Z,GROUND,,COP-C-00017,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00018,r2-p8-1c-8edfce4433a6,Indigo purple,#482960,0,18,-8.0,-80.0,0.0,0,-Z,GROUND,,COP-C-00018,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00019,r2-p8-4c-4f58144d0208,Indigo purple,#482960,0,19,4.0,-76.0,0.0,0,-Z,GROUND,,COP-C-00019,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00020,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,20,12.0,-60.0,0.0,0,-Z,GROUND,,COP-C-00020,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00021,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,21,12.0,-44.0,0.0,0,-Z,GROUND,,COP-C-00021,PROTOTYPE_NOT_FIT_VALIDATED
COP-C-00022,r2-p8-8c-4a40eb007127,Indigo purple,#482960,0,22,12.0,-28.0,0.0,0,-Z,GROUND,,COP-C-00022,PROTOTYPE_NOT_FIT_VALIDATED
