step,operation,part_or_aid_id,axis,attach_to,support_stud_sites,support_class,condition
1,PLACE_PROTOTYPE_PART,DUC-F-00001,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
2,PLACE_PROTOTYPE_PART,DUC-F-00002,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
3,PLACE_PROTOTYPE_PART,DUC-F-00003,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
4,PLACE_PROTOTYPE_PART,DUC-F-00004,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
5,PLACE_PROTOTYPE_PART,DUC-F-00005,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
6,PLACE_PROTOTYPE_PART,DUC-F-00006,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
7,PLACE_PROTOTYPE_PART,DUC-F-00007,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
8,PLACE_PROTOTYPE_PART,DUC-F-00008,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
9,PLACE_PROTOTYPE_PART,DUC-F-00009,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
10,PLACE_PROTOTYPE_PART,DUC-F-00010,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
11,PLACE_PROTOTYPE_PART,DUC-F-00011,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
12,PLACE_PROTOTYPE_PART,DUC-F-00012,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
13,PLACE_PROTOTYPE_PART,DUC-F-00013,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
14,PLACE_PROTOTYPE_PART,DUC-F-00014,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
15,PLACE_PROTOTYPE_PART,DUC-F-00015,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
16,PLACE_PROTOTYPE_PART,DUC-F-00016,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
17,PLACE_PROTOTYPE_PART,DUC-F-00017,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
18,PLACE_PROTOTYPE_PART,DUC-F-00018,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
19,PLACE_PROTOTYPE_PART,DUC-F-00019,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
20,PLACE_PROTOTYPE_PART,DUC-F-00020,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
21,PLACE_PROTOTYPE_PART,DUC-F-00021,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
22,PLACE_PROTOTYPE_PART,DUC-F-00022,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
23,PLACE_PROTOTYPE_PART,DUC-F-00023,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
24,PLACE_PROTOTYPE_PART,DUC-F-00024,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
25,PLACE_PROTOTYPE_PART,DUC-F-00025,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
26,PLACE_PROTOTYPE_PART,DUC-F-00026,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
27,PLACE_PROTOTYPE_PART,DUC-F-00027,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
28,PLACE_PROTOTYPE_PART,DUC-F-00028,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
29,PLACE_PROTOTYPE_PART,DUC-F-00029,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
30,PLACE_PROTOTYPE_PART,DUC-F-00030,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
31,PLACE_PROTOTYPE_PART,DUC-F-00031,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
