type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-10c-06b4a7fa37f8,Yellow,#F4EE2A,1,10,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,1],[2,2],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-06b4a7fa37f8.stl
r2-p4-10c-703d228b64da,Yellow,#F4EE2A,9,10,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-703d228b64da.stl
r2-p4-10c-df3f1ce261d0,Yellow,#F4EE2A,1,10,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[4,0],[5,0],[6,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-df3f1ce261d0.stl
r2-p4-10c-f0568e82ff56,Yellow,#F4EE2A,3,10,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-f0568e82ff56.stl
r2-p4-11c-021340aaea91,Yellow,#F4EE2A,5,11,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-11c-021340aaea91.stl
r2-p4-11c-1f42297da998,Yellow,#F4EE2A,3,11,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-11c-1f42297da998.stl
r2-p4-11c-7a5c0d6cf3ca,Yellow,#F4EE2A,1,11,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[5,0],[6,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-11c-7a5c0d6cf3ca.stl
r2-p4-11c-baa5754e02dd,Pumpkin orange,#FF9016,1,11,"[[0,0],[0,1],[0,2],[1,2],[2,2],[2,3],[3,2],[3,3],[4,3],[5,3],[6,3]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-11c-baa5754e02dd.stl
r2-p4-12c-0b51f59a601f,Pumpkin orange,#FF9016,1,12,"[[0,3],[1,1],[1,2],[1,3],[2,1],[3,0],[3,1],[4,0],[4,1],[5,0],[6,0],[7,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-12c-0b51f59a601f.stl
r2-p4-12c-1aa056caa409,Yellow,#F4EE2A,2,12,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-12c-1aa056caa409.stl
