part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
DUC-F-00001,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,0,1,-26.0,-6.0,0.0,0,-Z,GROUND,,DUC-F-00001,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00002,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,0,2,-26.0,2.0,0.0,0,-Z,GROUND,,DUC-F-00002,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00003,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,0,3,-26.0,10.0,0.0,0,-Z,GROUND,,DUC-F-00003,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00004,r2-p4-8c-186a9f84f098,Yellow,#F4EE2A,0,4,-26.0,18.0,0.0,0,-Z,GROUND,,DUC-F-00004,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00005,r2-p4-6c-7b734626068d,Yellow,#F4EE2A,0,5,-24.0,-14.0,0.0,0,-Z,GROUND,,DUC-F-00005,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00006,r2-p4-3c-b982b6d67e98,Yellow,#F4EE2A,0,6,-24.0,24.0,0.0,0,-Z,GROUND,,DUC-F-00006,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00007,r2-p4-2c-88381088bd9d,Yellow,#F4EE2A,0,7,-22.0,-20.0,0.0,0,-Z,GROUND,,DUC-F-00007,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00008,r2-p4-2c-88381088bd9d,Yellow,#F4EE2A,0,8,-22.0,28.0,0.0,0,-Z,GROUND,,DUC-F-00008,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00009,r2-p4-1c-4ebe150eb1b7,Yellow,#F4EE2A,0,9,-20.0,-24.0,0.0,0,-Z,GROUND,,DUC-F-00009,PROTOTYPE_NOT_FIT_VALIDATED
DUC-F-00010,r2-p4-1c-4ebe150eb1b7,Yellow,#F4EE2A,0,10,-20.0,32.0,0.0,0,-Z,GROUND,,DUC-F-00010,PROTOTYPE_NOT_FIT_VALIDATED
