step,operation,part_or_aid_id,axis,attach_to,support_stud_sites,support_class,condition
0,SETUP_CRADLE_BEFORE_ANY_FIGURE_PART,mona-left-whisker-cradle,SEE_AID_POSE,,,TEMPORARY_EXTERNAL_SUPPORT,Required for the named Mona whisker-tip parts
0,SETUP_CRADLE_BEFORE_ANY_FIGURE_PART,mona-right-whisker-cradle,SEE_AID_POSE,,,TEMPORARY_EXTERNAL_SUPPORT,Required for the named Mona whisker-tip parts
1,PLACE_PROTOTYPE_PART,MON-F-00001,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
2,PLACE_PROTOTYPE_PART,MON-F-00002,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
3,PLACE_PROTOTYPE_PART,MON-F-00003,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
4,PLACE_PROTOTYPE_PART,MON-F-00004,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
5,PLACE_PROTOTYPE_PART,MON-F-00005,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
6,PLACE_PROTOTYPE_PART,MON-F-00006,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
7,PLACE_PROTOTYPE_PART,MON-F-00007,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
8,PLACE_PROTOTYPE_PART,MON-F-00008,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
9,PLACE_PROTOTYPE_PART,MON-F-00009,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
10,PLACE_PROTOTYPE_PART,MON-F-00010,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
11,PLACE_PROTOTYPE_PART,MON-F-00011,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
12,PLACE_PROTOTYPE_PART,MON-F-00012,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
13,PLACE_PROTOTYPE_PART,MON-F-00013,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
14,PLACE_PROTOTYPE_PART,MON-F-00014,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
15,PLACE_PROTOTYPE_PART,MON-F-00015,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
16,PLACE_PROTOTYPE_PART,MON-F-00016,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
17,PLACE_PROTOTYPE_PART,MON-F-00017,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
18,PLACE_PROTOTYPE_PART,MON-F-00018,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
19,PLACE_PROTOTYPE_PART,MON-F-00019,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
20,PLACE_PROTOTYPE_PART,MON-F-00020,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
21,PLACE_PROTOTYPE_PART,MON-F-00021,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
22,PLACE_PROTOTYPE_PART,MON-F-00022,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
23,PLACE_PROTOTYPE_PART,MON-F-00023,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
24,PLACE_PROTOTYPE_PART,MON-F-00024,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
25,PLACE_PROTOTYPE_PART,MON-F-00025,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
26,PLACE_PROTOTYPE_PART,MON-F-00026,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
27,PLACE_PROTOTYPE_PART,MON-F-00027,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
28,PLACE_PROTOTYPE_PART,MON-F-00028,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
29,PLACE_PROTOTYPE_PART,MON-F-00029,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
30,PLACE_PROTOTYPE_PART,MON-F-00030,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
31,PLACE_PROTOTYPE_PART,MON-F-00031,-Z,,0,GROUND,Physical retention and load capacity UNKNOWN
32,PLACE_PROTOTYPE_PART,MON-R2-00001,-Z,MON-F-00002,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
33,PLACE_PROTOTYPE_PART,MON-R2-00002,-Z,MON-F-00001,3,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
34,PLACE_PROTOTYPE_PART,MON-R2-00003,-Z,MON-F-00005,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
35,PLACE_PROTOTYPE_PART,MON-R2-00004,-Z,MON-F-00001,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
36,PLACE_PROTOTYPE_PART,MON-F-00058,-Z,MON-F-00002,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
37,PLACE_PROTOTYPE_PART,MON-F-00069,-Z,MON-F-00005,7,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
38,PLACE_PROTOTYPE_PART,MON-R2-00005,-Z,MON-F-00015,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
39,PLACE_PROTOTYPE_PART,MON-R2-00006,-Z,MON-F-00010,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
40,PLACE_PROTOTYPE_PART,MON-F-00059,-Z,MON-F-00012,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
41,PLACE_PROTOTYPE_PART,MON-F-00070,-Z,MON-F-00013,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
42,PLACE_PROTOTYPE_PART,MON-R2-00007,-Z,MON-F-00010,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
43,PLACE_PROTOTYPE_PART,MON-F-00060,-Z,MON-F-00012,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
44,PLACE_PROTOTYPE_PART,MON-F-00071,-Z,MON-F-00013,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
45,PLACE_PROTOTYPE_PART,MON-F-00083,-Z,MON-F-00015,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
46,PLACE_PROTOTYPE_PART,MON-R2-00008,-Z,MON-F-00016,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
47,PLACE_PROTOTYPE_PART,MON-F-00061,-Z,MON-F-00018,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
48,PLACE_PROTOTYPE_PART,MON-F-00072,-Z,MON-F-00020,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
49,PLACE_PROTOTYPE_PART,MON-F-00084,-Z,MON-F-00022,2,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
50,PLACE_PROTOTYPE_PART,MON-R2-00009,-Z,MON-F-00017,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
51,PLACE_PROTOTYPE_PART,MON-F-00062,-Z,MON-F-00019,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
52,PLACE_PROTOTYPE_PART,MON-F-00073,-Z,MON-F-00020,8,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
53,PLACE_PROTOTYPE_PART,MON-R2-00010,-Z,MON-F-00022,1,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
54,PLACE_PROTOTYPE_PART,MON-R2-00011,-Z,MON-F-00024,6,SEATED_NOMINAL,Physical retention and load capacity UNKNOWN
