type_id,color,hex,quantity,cell_count,shape,native_stl
r2-p4-10c-06b4a7fa37f8,Purple,#5E43B7,4,10,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,1],[2,2],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-06b4a7fa37f8.stl
r2-p4-10c-703d228b64da,Purple,#5E43B7,16,10,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-703d228b64da.stl
r2-p4-10c-72da87c37623,Purple,#5E43B7,1,10,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-72da87c37623.stl
r2-p4-10c-7acf782cb06b,Hot pink,#F5547C,1,10,"[[0,0],[0,1],[1,0],[2,0],[3,0],[4,0],[5,0],[6,0],[7,0],[8,0]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-7acf782cb06b.stl
r2-p4-10c-f0568e82ff56,Purple,#5E43B7,3,10,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-10c-f0568e82ff56.stl
r2-p4-11c-021340aaea91,Purple,#5E43B7,3,11,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-11c-021340aaea91.stl
r2-p4-11c-1acae6a2bfb1,Purple,#5E43B7,1,11,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[3,2],[4,0],[4,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-11c-1acae6a2bfb1.stl
r2-p4-11c-1f42297da998,Purple,#5E43B7,1,11,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0],[3,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-11c-1f42297da998.stl
r2-p4-11c-8268c36e4eda,Purple,#5E43B7,1,11,"[[0,0],[0,1],[1,0],[1,1],[2,0],[2,1],[3,0],[3,1],[4,0],[4,1],[5,1]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-11c-8268c36e4eda.stl
r2-p4-12c-1aa056caa409,Purple,#5E43B7,10,12,"[[0,0],[0,1],[0,2],[1,0],[1,1],[1,2],[2,0],[2,1],[2,2],[3,0],[3,1],[3,2]]",artifacts/selected/r2-20260919/cad/bricks/r2-p4-12c-1aa056caa409.stl
