part_id,type_id,color,hex,layer,assembly_step,x_mm,y_mm,z_mm,rotation_z_deg,insertion_axis,support_class,required_aids,baseline_part_ids,status
MON-F-00001,r2-p4-4c-b02791f0c425,Purple,#5E43B7,0,1,-26.0,-20.0,0.0,0,-Z,GROUND,,MON-F-00001,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00002,r2-p4-8c-186a9f84f098,Purple,#5E43B7,0,2,-26.0,-14.0,0.0,0,-Z,GROUND,,MON-F-00002,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00003,r2-p4-8c-186a9f84f098,Purple,#5E43B7,0,3,-26.0,-6.0,0.0,0,-Z,GROUND,,MON-F-00003,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00004,r2-p4-3c-b982b6d67e98,Purple,#5E43B7,0,4,-24.0,-24.0,0.0,0,-Z,GROUND,,MON-F-00004,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00005,r2-p4-6c-7b734626068d,Purple,#5E43B7,0,5,-24.0,2.0,0.0,0,-Z,GROUND,,MON-F-00005,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00006,r2-p4-2c-88381088bd9d,Purple,#5E43B7,0,6,-22.0,-28.0,0.0,0,-Z,GROUND,,MON-F-00006,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00007,r2-p4-2c-88381088bd9d,Purple,#5E43B7,0,7,-22.0,8.0,0.0,0,-Z,GROUND,,MON-F-00007,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00008,r2-p4-1c-4ebe150eb1b7,Purple,#5E43B7,0,8,-20.0,12.0,0.0,0,-Z,GROUND,,MON-F-00008,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00009,r2-p4-8c-186a9f84f098,Purple,#5E43B7,0,9,-10.0,-30.0,0.0,0,-Z,GROUND,,MON-F-00009,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00010,r2-p4-8c-186a9f84f098,Purple,#5E43B7,0,10,-10.0,-22.0,0.0,0,-Z,GROUND,,MON-F-00010,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00011,r2-p4-8c-186a9f84f098,Purple,#5E43B7,0,11,-10.0,-14.0,0.0,0,-Z,GROUND,,MON-F-00011,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00012,r2-p4-8c-186a9f84f098,Purple,#5E43B7,0,12,-10.0,-6.0,0.0,0,-Z,GROUND,,MON-F-00012,PROTOTYPE_NOT_FIT_VALIDATED
MON-F-00013,r2-p4-8c-186a9f84f098,Purple,#5E43B7,0,13,-10.0,2.0,0.0,0,-Z,GROUND,,MON-F-00013,PROTOTYPE_NOT_FIT_VALIDATED
