case_id,logical_case_id,geometry_revision,character,target_ratio,baseline_count,actual_reference_count,target_count,actual_count,actual_ratio,difference,width_mm,depth_mm,height_mm,types,one_by_one,grip_long_ge_15_8_fraction
mona-p120-root-v2,mona-p120,whisker-root-v2,mona,1.2,12435,12411,14922,14913,1.1992762364294332,-9,439.8,359.8,397.0,118,38,0.9974518876148327
mona-p150-root-v2,mona-p150,whisker-root-v2,mona,1.5,12435,12411,18653,18649,1.499718536389224,-4,487.8,391.8,425.8,128,50,0.9973188910933563
mona-p200-root-v2,mona-p200,whisker-root-v2,mona,2.0,12435,12411,24870,24811,1.9952553277040612,-59,535.8,439.8,473.8,135,62,0.9975011083793479
mona-p300-root-v2,mona-p300,whisker-root-v2,mona,3.0,12435,12411,37305,37255,2.995979091274628,-50,615.8,503.8,545.8,160,68,0.9981747416454168
mona-p400-root-v2,mona-p400,whisker-root-v2,mona,4.0,12435,12411,49740,49483,3.979332529151588,-257,679.8,551.8,598.5999999999999,172,92,0.9981407756199099
copilot-p120,copilot-p120,original-matrix,copilot,1.2,17873,17873,21448,21388,1.1966653611592906,-60,519.8,439.8,397.0,155,30,0.9985973443052178
copilot-p150,copilot-p150,original-matrix,copilot,1.5,17873,17873,26810,26690,1.4933139372237454,-120,567.8,487.8,425.8,162,39,0.9985387785687524
copilot-p200,copilot-p200,original-matrix,copilot,2.0,17873,17873,35746,35648,1.99451686902031,-98,631.8,535.8,469.0,182,57,0.9984010323159784
copilot-p300,copilot-p300,original-matrix,copilot,3.0,17873,17873,53619,53350,2.984949364963912,-269,727.8,615.8,540.9999999999999,195,73,0.9986316776007498
copilot-p400,copilot-p400,original-matrix,copilot,4.0,17873,17873,71492,71261,3.987075476976445,-231,791.8,679.8,598.5999999999999,214,111,0.9984423457431133
ducky-p120,ducky-p120,original-matrix,ducky,1.2,9669,9669,11603,11586,1.1982624883648774,-17,311.8,455.8,397.0,93,7,0.9993958225444503
ducky-p150,ducky-p150,original-matrix,ducky,1.5,9669,9669,14504,14460,1.495501085944772,-44,343.8,503.8,425.8,100,8,0.9994467496542185
ducky-p200,ducky-p200,original-matrix,ducky,2.0,9669,9669,19338,19309,1.9970007239631813,-29,375.8,551.8,473.8,106,9,0.999533896110622
ducky-p300,ducky-p300,original-matrix,ducky,3.0,9669,9669,29007,28932,2.992243251628917,-75,439.8,631.8,540.9999999999999,121,14,0.9995161067330292
ducky-p400,ducky-p400,original-matrix,ducky,4.0,9669,9669,38676,38473,3.979005067742269,-203,487.8,695.8,598.5999999999999,139,14,0.999636108439685
